City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Mizdah,LY,2022-09-10 03:36:29,31.4451,12.9801,70.84,53,0,3.06
215,Dingle,PH,2022-09-10 03:33:32,10.9995,122.6711,84.56,77,100,9.26
216,Maua,BR,2022-09-10 03:36:30,-23.6678,-46.4614,77.36,45,40,5.19
217,Acajutla,SV,2022-09-10 03:36:30,13.5928,-89.8275,79.77,83,98,2.57
218,Wajima,JP,2022-09-10 03:36:30,37.4,136.9,84.88,61,75,9.22
219,Kurilsk,RU,2022-09-10 03:36:30,45.2333,147.8833,61.7,61,0,7.11
220,Fomboni,KM,2022-09-10 03:36:31,-12.28,43.7425,75.9,73,6,8.16
221,Teya,RU,2022-09-10 03:36:31,60.3778,92.6267,47.61,84,100,10.45
222,Changli,CN,2022-09-10 03:36:31,39.7042,119.1506,79.23,54,100,8.59
223,Campbell River,CA,2022-09-10 03:36:31,50.0163,-125.2446,65.73,63,0,3.44
224,Touros,BR,2022-09-10 03:36:32,-5.1989,-35.4608,73.6,84,0,12.88
225,Grants,US,2022-09-10 03:35:34,35.1473,-107.8514,68.23,40,0,13.8
226,Ahipara,NZ,2022-09-10 03:37:32,-35.1667,173.1667,58.89,64,20,4.79
227,Ostrovnoy,RU,2022-09-10 03:37:32,68.0531,39.5131,48.29,85,100,9.6
228,Georgetown,MY,2022-09-10 03:33:05,5.4112,100.3354,87.73,73,20,8.05
229,Sambava,MG,2022-09-10 03:37:33,-14.2667,50.1667,67.89,77,15,7.56
230,Esmeraldas,BR,2022-09-10 03:37:33,-19.7625,-44.3139,68.86,53,0,5.66
231,Manakara,MG,2022-09-10 03:37:33,-22.1333,48.0167,64.62,83,2,2.71
232,Katsuura,JP,2022-09-10 03:35:56,35.1333,140.3,79.43,71,65,21.14
233,Norman Wells,CA,2022-09-10 03:37:33,65.282,-126.8329,55.44,67,75,5.75
234,Siocon,PH,2022-09-10 03:37:34,7.7061,122.1353,86.23,66,89,6.29
235,Saskylakh,RU,2022-09-10 03:37:34,71.9167,114.0833,41.31,90,100,5.99
236,Padang,ID,2022-09-10 03:37:34,-0.9492,100.3543,82.45,61,100,2.59
237,Gisborne,NZ,2022-09-10 03:37:34,-38.6533,178.0042,50.22,88,100,13.96
238,Avera,US,2022-09-10 03:37:35,33.194,-82.5271,69.85,96,100,10.51
239,Lieksa,FI,2022-09-10 03:37:35,63.3167,30.0167,48.78,79,100,8.72
240,Mabaruma,GY,2022-09-10 03:37:35,8.2,-59.7833,72.64,98,15,2.62
241,Qaqortoq,GL,2022-09-10 03:37:36,60.7167,-46.0333,47.62,66,100,4.65
242,Guatire,VE,2022-09-10 03:37:36,10.4762,-66.5427,72.63,94,80,2.91
243,Vilyuysk,RU,2022-09-10 03:37:36,63.7553,121.6247,39.94,66,99,13.78
244,Uhlove,UA,2022-09-10 03:37:36,44.8215,33.6045,63.01,64,88,5.17
245,North Bend,US,2022-09-10 03:37:37,43.4065,-124.2243,77.92,65,100,5.75
246,Adrar,MR,2022-09-10 03:37:37,20.5022,-10.0711,91.13,23,42,13.49
247,Bonavista,CA,2022-09-10 03:34:09,48.6499,-53.1147,55.45,85,100,10.76
248,Chapais,CA,2022-09-10 03:37:37,49.7834,-74.8492,64.18,71,5,7.07
249,San Cristobal,VE,2022-09-10 03:37:37,7.7669,-72.225,77.18,93,34,2.35
250,Port Shepstone,ZA,2022-09-10 03:37:38,-30.7414,30.455,64.0,82,0,3.11
251,Xihe,CN,2022-09-10 03:37:38,31.6864,113.4659,88.81,35,1,4.76
252,Biak,ID,2022-09-10 03:34:49,-0.9131,122.8766,80.67,74,79,8.48
253,Novyy Urengoy,RU,2022-09-10 03:37:38,66.0833,76.6333,42.3,60,94,10.36
254,Andenes,NO,2022-09-10 03:37:38,69.3143,16.1194,48.18,87,75,12.66
255,Xintai,CN,2022-09-10 03:37:39,35.9006,117.7519,82.08,45,69,1.68
256,Nanortalik,GL,2022-09-10 03:37:39,60.1432,-45.2371,44.49,80,100,8.21
257,Niquelandia,BR,2022-09-10 03:37:39,-14.4739,-48.4597,73.56,31,1,3.98
258,Kuloy,RU,2022-09-10 03:37:39,61.0305,42.4925,45.1,80,100,5.23
259,Lethem,GY,2022-09-10 03:37:40,3.3803,-59.7968,76.35,80,81,6.11
260,Mashhad,IR,2022-09-10 03:37:04,36.297,59.6062,71.74,60,20,6.91
261,Vardo,NO,2022-09-10 03:34:19,70.3705,31.1107,48.18,87,100,11.5
262,Lorengau,PG,2022-09-10 03:37:40,-2.0226,147.2712,85.17,69,99,10.02
263,Aguimes,ES,2022-09-10 03:37:40,27.9054,-15.4461,72.23,73,20,19.57
264,Hamilton,US,2022-09-10 03:37:10,39.1834,-84.5333,74.98,86,0,1.01
265,Surt,LY,2022-09-10 03:37:41,31.2089,16.5887,74.79,68,0,4.85
266,Uribia,CO,2022-09-10 03:37:41,11.7139,-72.266,85.12,70,97,13.67
267,Sur,OM,2022-09-10 03:37:41,22.5667,59.5289,85.42,55,56,0.72
268,Ilulissat,GL,2022-09-10 03:37:41,69.2167,-51.1,42.82,75,100,1.14
269,Sangeru,RO,2022-09-10 03:37:42,45.1333,26.35,66.33,84,76,6.11
270,Edeia,BR,2022-09-10 03:37:42,-17.3383,-49.9314,76.96,27,17,5.17
271,Araouane,ML,2022-09-10 03:37:42,18.9048,-3.5265,91.63,34,62,15.75
272,Airai,TL,2022-09-10 03:37:43,-8.9266,125.4092,81.55,27,1,2.98
273,Ambon,ID,2022-09-10 03:38:43,-3.6954,128.1814,80.74,89,75,8.05
274,Aklavik,CA,2022-09-10 03:33:49,68.2191,-135.0107,46.98,75,100,3.33
275,Shiliguri,IN,2022-09-10 03:38:43,26.7,88.4333,88.39,61,59,5.1
276,Atuona,PF,2022-09-10 03:38:43,-9.8,-139.0333,76.59,77,29,26.78
277,Urucara,BR,2022-09-10 03:38:44,-2.5364,-57.76,75.2,72,29,1.97
278,Manaure,CO,2022-09-10 03:38:44,11.7751,-72.4445,85.03,72,99,13.94
279,San,ML,2022-09-10 03:38:44,13.3034,-4.8956,75.24,81,97,6.73
280,Kaabong,UG,2022-09-10 03:38:44,3.4836,34.1492,63.36,75,59,2.55
281,Shingu,JP,2022-09-10 03:38:45,33.7333,135.9833,80.01,86,37,4.14
282,La Ronge,CA,2022-09-10 03:38:45,55.1001,-105.2842,48.45,71,75,5.75
283,Aitape,PG,2022-09-10 03:38:45,-3.1374,142.3475,85.46,70,61,8.1
284,Geraldton,AU,2022-09-10 03:38:45,-28.7667,114.6,70.21,49,2,10.36
285,Domodossola,IT,2022-09-10 03:38:46,46.1165,8.2931,60.71,83,1,7.16
286,Bilma,NE,2022-09-10 03:38:46,18.6853,12.9164,88.52,16,77,12.77
287,Torbay,CA,2022-09-10 03:35:33,47.6666,-52.7314,57.58,91,100,10.36
288,Ruidoso,US,2022-09-10 03:38:46,33.3317,-105.673,66.34,46,99,5.75
289,Hofn,IS,2022-09-10 03:38:46,64.2539,-15.2082,52.52,97,100,8.97
290,Astoria,US,2022-09-10 03:38:47,46.1879,-123.8313,74.71,46,0,14.97
291,Kirakira,SB,2022-09-10 03:36:22,-10.4544,161.9205,81.84,77,42,10.49
292,Lakatoro,VU,2022-09-10 03:34:12,-16.0999,167.4164,82.33,69,44,14.79
293,Quesnel,CA,2022-09-10 03:38:47,52.9999,-122.5029,54.1,82,0,0.0
294,Mitsamiouli,KM,2022-09-10 03:38:47,-11.3847,43.2844,75.02,72,21,5.3
295,Bull Savanna,JM,2022-09-10 03:38:48,17.8868,-77.5902,77.56,84,3,6.58
